,vehicle,level_1,datetime,speed,y,x,heading,vehicleType,time_interval,distance,heading_interval,Trip,geometry
111770,51G45509,0,2018-04-24 23:33:43,18.0,106.68027,10.7761272,212.8652659195084,300,500.0,129.62120195472596,3.4350966068374187,36132,POINT (10.7761272 106.68027)
111772,51G45509,2,2018-04-24 23:42:13,11.0,106.67941100000002,10.774901000000002,237.29485274494,300,20.0,96.89656535085614,15.181016740875805,36132,POINT (10.774901 106.679411)
111785,51G45509,15,2018-04-24 23:45:03,5.0,106.67355066666666,10.771206333333335,229.69424030591406,300,20.0,4.452575518893052,8.135281592031049,36132,POINT (10.77120633333334 106.6735506666667)
111902,51G45670,0,2018-04-24 23:45:00,17.0,106.681369,10.7854965,109.06725541627287,700,50.0,238.2436190761061,82.98703817060249,36195,POINT (10.7854965 106.681369)
111907,51G45670,5,2018-04-24 23:46:30,24.0,106.68542250000002,10.783978,131.63679761589842,700,20.0,142.91039418970027,13.455823180281966,36195,POINT (10.783978 106.6854225)
111913,51G45670,11,2018-04-24 23:48:10,25.0,106.688515,10.781148,134.04192004541184,700,20.0,141.00433602526047,0.8887903850322232,36195,POINT (10.781148 106.688515)
112007,51G45672,0,2018-04-24 22:32:31,17.0,106.69599,10.784755,204.0549173304396,300,4.0,26.943216922476353,31.22320846397113,36234,POINT (10.784755 106.69599)
112032,51G45672,25,2018-04-24 22:38:31,34.0,106.68567,10.773795,223.3748332225576,300,33.0,137.25986003114164,1.3970733423773538,36234,POINT (10.773795 106.68567)
112033,51G45672,0,2018-04-24 22:39:04,18.0,106.6848,10.772899,224.5948519936553,300,28.0,273.1768070203866,1.2200187710977275,36235,POINT (10.772899 106.6848)
112042,51G45672,9,2018-04-24 22:40:55,35.0,106.67936,10.767232,216.03724325093918,300,15.0,123.07076032743919,7.9188146494431635,36235,POINT (10.767232 106.67936)
112059,51G45737,0,2018-04-24 17:04:14,2.0,106.67541,10.774793,79.26239483334464,300,105.0,8.896523593579824,20.4035065809623,36246,POINT (10.774793 106.67541)
112062,51G45737,3,2018-04-24 17:06:29,23.0,106.6772,10.77448,131.2156173099254,300,15.0,48.9298304063006,26.31533521905776,36246,POINT (10.77448 106.6772)
112064,51G45737,5,2018-04-24 17:06:59,24.0,106.67787849999999,10.7737065,129.58861032278332,300,15.0,96.64248165815796,15.089492878444732,36246,POINT (10.7737065 106.6778785)
112072,51G45737,13,2018-04-24 17:09:59,22.0,106.68376,10.768622,112.28008351436212,300,15.0,92.16570483416972,17.24120756764549,36246,POINT (10.768622 106.68376)
112075,51G45737,16,2018-04-24 17:10:44,13.0,106.68598,10.767713,94.00505892309036,300,15.0,42.708179267770994,16.31602260053249,36246,POINT (10.767713 106.68598)
112116,51G45777,0,2018-04-24 17:00:50,23.0,106.69152,10.778094,221.0265346491144,700,10.0,73.49228478424105,50.97319212244045,36268,POINT (10.778094 106.69152)
112122,51G45777,6,2018-04-24 17:02:00,18.0,106.689,10.775141,225.0240439066617,700,30.0,89.85303477276845,3.711917261765933,36268,POINT (10.775141 106.689)
112131,51G45777,15,2018-04-24 17:03:50,19.0,106.68404699999999,10.769899,208.76024708781856,700,20.0,118.42046815488436,12.499532080038474,36268,POINT (10.769899 106.684047)
112174,51G45780,0,2018-04-24 17:01:20,7.0,106.67734250000001,10.774384,142.78246788325745,700,40.0,49.87024306984075,37.070841458542354,36286,POINT (10.774384 106.6773425)
112176,51G45780,2,2018-04-24 17:02:10,29.0,106.677725,10.773886,131.7858638201223,700,20.0,153.38709645034098,11.169355254929826,36286,POINT (10.773886 106.677725)
112186,51G45780,12,2018-04-24 17:04:40,10.0,106.683985,10.76841325,129.74527783859958,700,10.0,12.820382062879588,2.279893157003869,36286,POINT (10.76841325 106.683985)
112193,51G45780,0,2018-04-24 17:05:50,40.0,106.6823,10.766159,311.07804338384864,700,10.0,91.55202358598362,70.45662055673725,36289,POINT (10.766159 106.6823)
112202,51G45780,9,2018-04-24 17:08:10,18.0,106.677122,10.7702355,310.01931823991606,700,10.0,46.33928217447543,1.8154717463963264,36289,POINT (10.7702355 106.677122)
